N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
174,동원시스템즈,"50,500","5,900",-10.46%,"5,000","12,937","25,619",1.56,"213,229",28.69,8.69,
175,명신산업,"31,500","1,500",-4.55%,500,"12,845","40,779",1.43,"641,781",N/A,53.84,
176,효성첨단소재,"282,000","14,500",-4.89%,"5,000","12,633","4,480",9.80,"138,511",-18.89,-19.74,
177,SK디스커버리,"65,800","1,100",+1.70%,"5,000","12,527","19,038",10.08,"384,847",4.32,11.52,
178,한전KPS,"27,050",200,-0.73%,200,"12,172","45,000",10.52,"178,700",10.04,14.98,
179,이노션,"60,700","1,200",-1.94%,500,"12,140","20,000",29.98,"67,518",18.90,9.88,
180,LG전자우,"70,500","3,700",-4.99%,"5,000","12,116","17,186",39.07,"400,127",15.31,N/A,
181,DGB금융지주,"7,140",50,-0.70%,"5,000","12,077","169,146",47.07,"881,241",3.64,7.31,
182,KBSTAR 200,"41,460",885,-2.09%,0,"12,023","29,000",0.07,"211,586",N/A,N/A,
183,KODEX 인버스,"4,030",85,+2.15%,0,"12,009","298,000",2.44,"90,591,676",N/A,N/A,
184,KG동부제철,"11,800",550,-4.45%,"5,000","11,801","100,009",0.10,"542,416",14.32,-7.44,
185,영풍,"631,000","2,000",-0.32%,"5,000","11,623","1,842",4.75,"8,050",6.27,7.40,
186,한올바이오파마,"22,200",300,-1.33%,500,"11,597","52,241",6.38,"495,758",58.89,14.90,
187,다우기술,"25,700",900,-3.38%,500,"11,531","44,867",22.28,"992,432",4.13,14.62,
188,JB금융지주,"5,820",0,0.00%,"5,000","11,464","196,983",39.71,"475,296",3.31,10.36,
189,솔루엠,"23,300",650,-2.71%,500,"11,438","49,092",0.00,"1,362,290",23.00,86.98,
190,금호타이어,"3,940",70,-1.75%,"5,000","11,318","287,260",5.28,"491,369",-11.29,-3.30,
191,아시아나항공,"15,000",300,+2.04%,"5,000","11,162","74,412",19.83,"1,236,786",-1.30,-90.67,
192,한미반도체,"21,500","1,200",-5.29%,200,"11,073","51,502",6.09,"1,294,546",25.15,8.85,
193,영진약품,"6,000",180,-2.91%,500,"10,974","182,893",4.30,"1,101,277","-1,500.00",4.43,
194,에스엘,"22,600","1,600",-6.61%,500,"10,894","48,203",14.92,"321,797",24.27,7.25,
195,롯데칠성,"119,500","3,000",-2.45%,500,"10,725","8,975",10.38,"25,083",-12.26,-11.68,
196,보령제약,"20,450",300,+1.49%,500,"10,659","52,120",6.70,"1,067,692",36.65,11.96,
197,더블유게임즈,"56,300","2,100",-3.60%,500,"10,345","18,375",13.46,"177,798",9.65,18.93,
198,LG상사,"26,650",300,-1.11%,"5,000","10,330","38,760",24.30,"273,380",7.26,2.49,
199,코스맥스,"102,500","5,000",-4.65%,500,"10,301","10,050",23.49,"129,316",25.37,10.45,
200,태광산업,"920,000","29,000",-3.06%,"5,000","10,243","1,113",7.76,"2,145",9.87,4.34,
